metric,iou_threshold,n_paired_cases,single_phase_mean,single_phase_sd,dual_phase_mean,dual_phase_sd,mean_difference_dual_minus_single,sd_paired_difference,ci_95_lower,ci_95_upper,t_statistic,paired_t_test_p_value,dual_better_n,single_better_n,equal_n,holm_adjusted_p_value,significant_after_holm
dice,,1631,0.7273929189060792,0.26658471393682415,0.7353318266109612,0.2616366289469286,0.007938907704882125,0.10696358634280284,0.002743978068838371,0.01313383734092588,2.9974488287456764,0.0027636589155973336,904,666,61,0.005527317831194667,True
detectability,0.2,1612,0.7415691298002512,0.3002360982970929,0.7418397341715273,0.3022135379716097,0.0002706043712761115,0.12737196203007398,-0.0059519087398427675,0.00649311748239499,0.08529891123733638,0.9320343560314185,145,118,1349,0.9320343560314185,False
precision,0.2,1615,0.5339648844488806,0.304946954320333,0.5508142168856883,0.29932283520933534,0.016849332436807675,0.19318574617292755,0.0074203959612042965,0.026278268912411053,3.505047296361119,0.00046900150106018166,595,452,568,0.0014070045031805449,True
