phase,metric,n_folds,mean_of_fold_means,sd_across_fold_means,minimum_fold_mean,maximum_fold_mean
DualPhase,detectability,5,0.7417876998496313,0.01245753925233983,0.7259834320896679,0.7566653017483473
DualPhase,dice,5,0.7344252006810325,0.020744501575091827,0.7073605191239569,0.7535977793669091
DualPhase,precision,5,0.548868184519799,0.02777599387919364,0.5189306100927655,0.5932347164814168
SinglePhase,detectability,5,0.7414904658070807,0.01761390407377434,0.7212342719644307,0.7616545712763284
SinglePhase,dice,5,0.7269391900745766,0.02318280195889416,0.6990255643804404,0.7569484142035848
SinglePhase,precision,5,0.53205888672388,0.04249663116952434,0.4880033454515558,0.5970450432998213
