case_id,dataset,fold,dice_single,detectability_single,precision_single,dice_dual,detectability_dual,precision_dual,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1000,Liver_Lesions,0,0.02606038820992092,0.5,0.3333333333333333,0.7915492957746478,0.5,0.5,0.7654889075647269,0.0,0.16666666666666669
Liver_Lesions_1002,Liver_Lesions,0,0.5901977340114282,0.6666666666666666,0.5,0.6843223651070285,0.5555555555555556,0.4545454545454545,0.09412463109560032,-0.11111111111111105,-0.045454545454545525
Liver_Lesions_1003,Liver_Lesions,0,0.9176844082275605,0.8,0.6666666666666666,0.9268873512235511,0.8,0.6666666666666666,0.00920294299599067,0.0,0.0
Liver_Lesions_1008,Liver_Lesions,0,0.9690948528364022,0.75,0.6,0.9677123255513382,1.0,0.8,-0.0013825272850639392,0.25,0.20000000000000007
Liver_Lesions_1017,Liver_Lesions,0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Liver_Lesions_1020,Liver_Lesions,0,0.5639295088113986,1.0,0.25,0.27356068940227357,1.0,0.5,-0.290368819409125,0.0,0.25
Liver_Lesions_1022,Liver_Lesions,0,0.6672284401642654,0.4285714285714285,0.5217391304347826,0.6205273992745809,0.3571428571428571,0.5882352941176471,-0.04670104088968452,-0.0714285714285714,0.06649616368286448
Liver_Lesions_1024,Liver_Lesions,0,0.9331582977792364,1.0,0.8888888888888888,0.9321578324911299,1.0,0.8,-0.001000465288106489,0.0,-0.0888888888888888
Liver_Lesions_1030,Liver_Lesions,0,0.8588907014681892,1.0,0.3333333333333333,0.8892561983471075,1.0,0.3333333333333333,0.030365496878918208,0.0,0.0
Liver_Lesions_1033,Liver_Lesions,0,0.5264896889597812,0.6666666666666666,0.5454545454545454,0.5433798011881654,0.6666666666666666,0.6,0.016890112228384213,0.0,0.054545454545454564
Liver_Lesions_1056,Liver_Lesions,0,0.9146201976200742,0.4736842105263157,0.6923076923076923,0.9189386012639685,0.4210526315789473,0.7272727272727273,0.004318403643894353,-0.05263157894736842,0.034965034965035
Liver_Lesions_1070,Liver_Lesions,0,0.9722600092750039,1.0,0.8,0.9806706268563389,1.0,1.0,0.00841061758133499,0.0,0.19999999999999996
