metric,iou_threshold,n_paired_cases,polynomial_mean,polynomial_sd,cosine_mean,cosine_sd,mean_difference_cosine_minus_polynomial,sd_paired_difference,ci_95_lower,ci_95_upper,t_statistic,paired_t_test_p_value,cosine_better_n,polynomial_better_n,equal_n,holm_adjusted_p_value,significant_after_holm
dice,,1630,0.7357829504309679,0.26108162432438664,0.7313970224957685,0.26273765978214586,-0.004385927935199348,0.07080308919044945,-0.007825697082775423,-0.0009461587876232729,-2.5009389309306047,0.012483984437956116,701,870,59,0.037451953313868344,True
detectability,0.2,1612,0.7418397341715273,0.3022135379716097,0.7420271347416824,0.30013319593963866,0.00018740057015500684,0.09381716236182934,-0.004395857107124196,0.004770658247434209,0.08019940267455614,0.9360886263809358,96,101,1415,0.9360886263809358,False
precision,0.2,1615,0.5508142168856883,0.29932283520933534,0.5570394919730824,0.3029142257193086,0.006225275087394156,0.16081361270064176,-0.0016236546012866,0.014074204776074913,1.5556862096792232,0.11997877853094426,457,459,699,0.2399575570618885,False
