scheduler,metric,n_folds,mean_of_fold_means,sd_across_fold_means,minimum_fold_mean,maximum_fold_mean
Cosine,detectability,5,0.741951987974885,0.016374037683857968,0.7227033154977918,0.7655002170513887
Cosine,dice,5,0.7313422375783158,0.020989015110191137,0.6995491899403672,0.7518221009431323
Cosine,precision,5,0.5566872277519203,0.04271045463417322,0.48656059493228293,0.5979502598943853
Polynomial,detectability,5,0.7417876998496313,0.01245753925233983,0.7259834320896679,0.7566653017483473
Polynomial,dice,5,0.7344252006810325,0.020744501575091827,0.7073605191239569,0.7535977793669091
Polynomial,precision,5,0.548868184519799,0.02777599387919364,0.5189306100927655,0.5932347164814168
