case_id,dataset,fold,dice_poly,detectability_poly,precision_poly,dice_cosine,detectability_cosine,precision_cosine,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1000,Liver_Lesions,0,0.7915492957746478,0.5,0.5,0.7446540880503144,0.5,0.5,-0.04689520772433342,0.0,0.0
Liver_Lesions_1002,Liver_Lesions,0,0.6843223651070285,0.5555555555555556,0.4545454545454545,0.6639239673393719,0.5555555555555556,0.5,-0.020398397767656617,0.0,0.045454545454545525
Liver_Lesions_1003,Liver_Lesions,0,0.9268873512235511,0.8,0.6666666666666666,0.9233748338855172,0.8,0.6666666666666666,-0.003512517338033927,0.0,0.0
Liver_Lesions_1008,Liver_Lesions,0,0.9677123255513382,1.0,0.8,0.9673399068949086,1.0,0.8,-0.00037241865642967387,0.0,0.0
Liver_Lesions_1017,Liver_Lesions,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Liver_Lesions_1020,Liver_Lesions,0,0.27356068940227357,1.0,0.5,0.9421686746987952,1.0,1.0,0.6686079852965217,0.0,0.5
Liver_Lesions_1022,Liver_Lesions,0,0.6205273992745809,0.3571428571428571,0.5882352941176471,0.6132543713739114,0.3571428571428571,0.7142857142857143,-0.007273027900669526,0.0,0.12605042016806722
Liver_Lesions_1024,Liver_Lesions,0,0.9321578324911299,1.0,0.8,0.93216107673939,1.0,0.8,3.244248260036997e-06,0.0,0.0
Liver_Lesions_1030,Liver_Lesions,0,0.8892561983471075,1.0,0.3333333333333333,0.8049512378094523,1.0,0.3333333333333333,-0.08430496053765513,0.0,0.0
Liver_Lesions_1033,Liver_Lesions,0,0.5433798011881654,0.6666666666666666,0.6,0.5352627898219378,0.5555555555555556,0.5555555555555556,-0.008117011366227667,-0.11111111111111105,-0.0444444444444444
Liver_Lesions_1056,Liver_Lesions,0,0.9189386012639685,0.4210526315789473,0.7272727272727273,0.9212841292476783,0.3157894736842105,0.6666666666666666,0.002345527983709794,-0.10526315789473678,-0.06060606060606066
Liver_Lesions_1070,Liver_Lesions,0,0.9806706268563389,1.0,1.0,0.979205636613044,1.0,1.0,-0.001464990243294828,0.0,0.0
Liver_Lesions_1072,Liver_Lesions,0,0.9387592788971368,0.6666666666666666,1.0,0.9342468528050655,0.6666666666666666,1.0,-0.004512426092071364,0.0,0.0
Liver_Lesions_1073,Liver_Lesions,0,0.9804615060259108,1.0,0.8333333333333334,0.9802422476010915,1.0,0.8333333333333334,-0.0002192584248192908,0.0,0.0
Liver_Lesions_1076,Liver_Lesions,0,0.5842217484008528,0.6666666666666666,0.6666666666666666,0.46075085324232085,0.6666666666666666,0.5,-0.12347089515853199,0.0,-0.16666666666666663
Liver_Lesions_1087,Liver_Lesions,0,0.7557369614512471,0.3181818181818182,0.5833333333333334,0.7523992322456814,0.3181818181818182,0.7777777777777778,-0.0033377292055657426,0.0,0.19444444444444442
Liver_Lesions_1092,Liver_Lesions,0,0.8574451203385348,1.0,0.75,0.8148883374689826,1.0,0.75,-0.04255678286955222,0.0,0.0
Liver_Lesions_1100,Liver_Lesions,0,0.01984712350811318,0.3333333333333333,0.3333333333333333,0.011972172787574826,0.3333333333333333,0.3333333333333333,-0.007874950720538355,0.0,0.0
Liver_Lesions_1101,Liver_Lesions,0,0.9480691448382126,0.7894736842105263,0.8823529411764706,0.9448158122535347,0.7894736842105263,0.8333333333333334,-0.0032533325846778594,0.0,-0.04901960784313719
Liver_Lesions_1104,Liver_Lesions,0,0.9385609896682305,0.75,0.75,0.91202972821995,0.75,0.6,-0.026531261448280552,0.0,-0.15000000000000002
Liver_Lesions_1111,Liver_Lesions,0,0.9671348073567689,1.0,1.0,0.9652926557545634,1.0,1.0,-0.0018421516022055773,0.0,0.0
Liver_Lesions_1115,Liver_Lesions,0,0.9098196392785571,1.0,1.0,0.9168316831683169,1.0,1.0,0.007012043889759734,0.0,0.0
Liver_Lesions_1127,Liver_Lesions,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Liver_Lesions_1131,Liver_Lesions,0,0.8542038366319517,0.7142857142857143,0.7142857142857143,0.8518966754862626,0.7142857142857143,0.625,-0.002307161145689074,0.0,-0.0892857142857143
Liver_Lesions_1136,Liver_Lesions,0,0.9570624062430835,1.0,1.0,0.9590216919917193,1.0,1.0,0.0019592857486357973,0.0,0.0
Liver_Lesions_1137,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1147,Liver_Lesions,0,0.8562259000875422,0.8,0.8,0.88722481406774,0.8,0.8,0.03099891398019783,0.0,0.0
Liver_Lesions_1148,Liver_Lesions,0,0.828538924102064,0.6666666666666666,0.2857142857142857,0.8558467741935484,0.6666666666666666,0.4,0.027307850091484398,0.0,0.11428571428571432
Liver_Lesions_1149,Liver_Lesions,0,0.8209257933667382,0.3333333333333333,0.2857142857142857,0.8817371576729865,0.3333333333333333,0.2,0.06081136430624834,0.0,-0.08571428571428569
Liver_Lesions_1150,Liver_Lesions,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Liver_Lesions_1151,Liver_Lesions,0,0.7263479145473042,0.5,1.0,0.8202325784733759,0.5,1.0,0.09388466392607175,0.0,0.0
Liver_Lesions_1153,Liver_Lesions,0,0.47280775512965484,1.0,0.6666666666666666,0.4616690080423899,1.0,0.5,-0.011138747087264922,0.0,-0.16666666666666663
Liver_Lesions_1154,Liver_Lesions,0,0.6133716533050976,0.75,1.0,0.6193339500462535,0.75,1.0,0.0059622967411558925,0.0,0.0
Liver_Lesions_1162,Liver_Lesions,0,0.8613456056411715,0.5849056603773585,0.4696969696969697,0.8513376741442291,0.6037735849056604,0.4923076923076923,-0.010007931496942346,0.018867924528301883,0.022610722610722556
Liver_Lesions_1164,Liver_Lesions,0,0.78125,1.0,0.3333333333333333,0.8571428571428571,1.0,1.0,0.0758928571428571,0.0,0.6666666666666667
Liver_Lesions_1178,Liver_Lesions,0,0.9766174968601783,1.0,0.25,0.9773426329386332,1.0,0.5,0.0007251360784549243,0.0,0.25
Liver_Lesions_1180,Liver_Lesions,0,0.182834783434264,0.631578947368421,0.6666666666666666,0.1792296806533563,0.5789473684210527,0.55,-0.0036051027809076985,-0.05263157894736836,-0.11666666666666659
Liver_Lesions_1187,Liver_Lesions,0,0.8667953667953668,1.0,0.5,0.8785714285714286,1.0,0.5,0.01177606177606172,0.0,0.0
Liver_Lesions_1188,Liver_Lesions,0,0.9621100259280373,0.9487179487179488,0.925,0.967250668475875,0.9230769230769232,0.9230769230769232,0.005140642547837748,-0.02564102564102555,-0.0019230769230768052
Liver_Lesions_1190,Liver_Lesions,0,0.602949329193924,0.8333333333333334,0.7142857142857143,0.691131498470948,0.8333333333333334,0.8333333333333334,0.08818216927702405,0.0,0.11904761904761907
Liver_Lesions_1193,Liver_Lesions,0,0.8903542549095109,0.8888888888888888,0.8,0.8938415003024803,0.7777777777777778,0.7777777777777778,0.003487245392969407,-0.11111111111111105,-0.022222222222222254
Liver_Lesions_1198,Liver_Lesions,0,0.9355540834673985,1.0,0.25,0.9407407407407408,1.0,0.3333333333333333,0.005186657273342221,0.0,0.08333333333333331
Liver_Lesions_1201,Liver_Lesions,0,0.9496624579816564,0.6923076923076923,0.75,0.9481088115842302,0.6923076923076923,0.75,-0.0015536463974261672,0.0,0.0
Liver_Lesions_1206,Liver_Lesions,0,0.8787443774523878,1.0,0.5,0.8798937498761076,1.0,0.5,0.0011493724237198188,0.0,0.0
Liver_Lesions_1207,Liver_Lesions,0,0.9610395880270357,0.4,0.6666666666666666,0.959671697626419,0.4,0.6666666666666666,-0.0013678904006166892,0.0,0.0
Liver_Lesions_1208,Liver_Lesions,0,0.9554403255605003,1.0,1.0,0.9560651451905815,1.0,1.0,0.0006248196300812081,0.0,0.0
Liver_Lesions_1219,Liver_Lesions,0,0.9652019154187275,1.0,1.0,0.9671770067353116,1.0,1.0,0.001975091316584132,0.0,0.0
Liver_Lesions_1220,Liver_Lesions,0,0.9508902950756136,1.0,1.0,0.9493401956970585,1.0,1.0,-0.0015500993785551032,0.0,0.0
Liver_Lesions_1221,Liver_Lesions,0,0.9655667144906743,1.0,1.0,0.6997885835095138,1.0,0.5,-0.26577813098116054,0.0,-0.5
Liver_Lesions_1227,Liver_Lesions,0,0.7497991322513258,1.0,0.7777777777777778,0.7131782945736435,1.0,0.7777777777777778,-0.036620837677682316,0.0,0.0
Liver_Lesions_1229,Liver_Lesions,0,0.9652927330094656,0.7777777777777778,1.0,0.9630135705604419,0.7777777777777778,1.0,-0.0022791624490237083,0.0,0.0
Liver_Lesions_1238,Liver_Lesions,0,0.9193971585818508,1.0,0.5714285714285714,0.930389401846648,1.0,0.5714285714285714,0.010992243264797197,0.0,0.0
Liver_Lesions_1260,Liver_Lesions,0,0.9220049240488689,0.6,0.75,0.9160981119404125,0.6,0.8571428571428571,-0.0059068121084564496,0.0,0.1071428571428571
Liver_Lesions_1262,Liver_Lesions,0,0.9460491060143914,0.7272727272727273,0.7272727272727273,0.9466127060410606,0.7272727272727273,0.6666666666666666,0.0005636000266692198,0.0,-0.06060606060606066
Liver_Lesions_1264,Liver_Lesions,0,0.5995203836930456,1.0,1.0,0.5230978260869565,1.0,1.0,-0.07642255760608907,0.0,0.0
Liver_Lesions_1266,Liver_Lesions,0,0.9364016736401674,0.8,1.0,0.9202808756712102,0.6,0.6,-0.016120797968957157,-0.20000000000000007,-0.4
Liver_Lesions_1268,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
